user_id,song_id,Genere,Artist,listen_count,Name_URL,year,Audio_Length
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOQMMHC12AB0180CB8,Relaxing Synth,AlexBoshMusic,1,https://audiojungle.net/item/relaxing-synth/35264573,2011,02:06
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOVFVAK12A8C1350D9,Relax,TomyJiz,2,https://audiojungle.net/item/relax/31913389,2010,02:49
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOGTUKN12AB017F4F1,Relaxed,TomyJiz,1,https://audiojungle.net/item/relaxed/33455746,2010,03:32
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOBNYVR12A8C13558C,Soft Relaxing Music,5VNDY,1,https://audiojungle.net/item/soft-relaxing-music/35189716,2010,02:45
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOHSBXH12A8C13B0DF,Peaceful Relaxing Ambient Corporate,5VNDY,1,https://audiojungle.net/item/peaceful-relaxing-ambient-corporate/35164347,2010,02:28
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOZVAPQ12A8C13B63C,Relaxing Calm Meditation,99Instrumentals,5,https://audiojungle.net/item/relaxing-calm-meditation/34293361,2010,09:59
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOQVRHI12A6D4FB2D7,Ambient Relaxing,ABSounds,1,https://audiojungle.net/item/ambient-relaxing/23560153,2010,16:25
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOEYRFT12AB018936C,Relax,Alexiaction,1,https://audiojungle.net/item/spa-meditation/27076092,2010,06:39
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOPMIYT12A6D4F851E,Relax Ambient,AlfaSound,1,https://audiojungle.net/item/relax-ambient/25163275,2010,02:24
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOJCFMH12A8C13B0C2,Relax Loop,Alien-Expo,1,https://audiojungle.net/item/relax-loop/25761261,2010,00:32
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOYGNWH12AB018191E,Relax Meditate,AlisaMusic,1,https://audiojungle.net/item/relax-meditate/35864518,2010,02:25
